Feature,Category,Count,Percentage of non-null
Location,Canberra,3436,2.3622
Location,Sydney,3344,2.2989
Location,Melbourne,3193,2.1951
Location,Brisbane,3193,2.1951
Location,Adelaide,3193,2.1951
Location,Perth,3193,2.1951
Location,Hobart,3193,2.1951
Location,Darwin,3193,2.1951
Location,Albury,3040,2.0899
Location,Wollongong,3040,2.0899
Location,MountGinini,3040,2.0899
Location,Ballarat,3040,2.0899
Location,Bendigo,3040,2.0899
Location,Cairns,3040,2.0899
Location,GoldCoast,3040,2.0899
Location,Townsville,3040,2.0899
Location,MountGambier,3040,2.0899
Location,Albany,3040,2.0899
Location,Launceston,3040,2.0899
Location,AliceSprings,3040,2.0899
Location,Newcastle,3039,2.0892
Location,Penrith,3039,2.0892
Location,Tuggeranong,3039,2.0892
Location,BadgerysCreek,3009,2.0686
Location,Cobar,3009,2.0686
Location,CoffsHarbour,3009,2.0686
Location,Moree,3009,2.0686
Location,NorfolkIsland,3009,2.0686
Location,Richmond,3009,2.0686
Location,SydneyAirport,3009,2.0686
Location,WaggaWagga,3009,2.0686
Location,Williamtown,3009,2.0686
Location,Sale,3009,2.0686
Location,MelbourneAirport,3009,2.0686
Location,Mildura,3009,2.0686
Location,Portland,3009,2.0686
Location,Watsonia,3009,2.0686
Location,Dartmoor,3009,2.0686
Location,Nuriootpa,3009,2.0686
Location,Woomera,3009,2.0686
Location,Witchcliffe,3009,2.0686
Location,PearceRAAF,3009,2.0686
Location,PerthAirport,3009,2.0686
Location,Walpole,3006,2.0665
Location,NorahHead,3004,2.0652
Location,SalmonGums,3001,2.0631
Location,Nhil,1578,1.0848
Location,Katherine,1578,1.0848
Location,Uluru,1578,1.0848
WindGustDir,W,9915,7.3372
WindGustDir,SE,9418,6.9694
WindGustDir,N,9313,6.8917
WindGustDir,SSE,9216,6.8199
WindGustDir,E,9181,6.794
WindGustDir,S,9168,6.7844
WindGustDir,WSW,9069,6.7111
WindGustDir,SW,8967,6.6356
WindGustDir,SSW,8736,6.4647
WindGustDir,WNW,8252,6.1065
WindGustDir,NW,8122,6.0103
WindGustDir,ENE,8104,5.997
WindGustDir,ESE,7372,5.4553
WindGustDir,NE,7133,5.2785
WindGustDir,NNW,6620,4.8988
WindGustDir,NNE,6548,4.8456
WindDir9am,N,11758,8.7165
WindDir9am,SE,9287,6.8847
WindDir9am,E,9176,6.8024
WindDir9am,SSE,9112,6.7549
WindDir9am,NW,8749,6.4858
WindDir9am,S,8659,6.4191
WindDir9am,W,8459,6.2708
WindDir9am,SW,8423,6.2442
WindDir9am,NNE,8129,6.0262
WindDir9am,NNW,7980,5.9158
WindDir9am,ENE,7836,5.809
WindDir9am,NE,7671,5.6867
WindDir9am,ESE,7630,5.6563
WindDir9am,SSW,7587,5.6244
WindDir9am,WNW,7414,5.4962
WindDir9am,WSW,7024,5.2071
WindDir3pm,SE,10838,7.6739
WindDir3pm,W,10110,7.1584
WindDir3pm,S,9926,7.0282
WindDir3pm,WSW,9518,6.7393
WindDir3pm,SSE,9399,6.655
WindDir3pm,SW,9354,6.6231
WindDir3pm,N,8890,6.2946
WindDir3pm,WNW,8874,6.2833
WindDir3pm,NW,8610,6.0964
WindDir3pm,ESE,8505,6.022
WindDir3pm,E,8472,5.9986
WindDir3pm,NE,8263,5.8507
WindDir3pm,SSW,8156,5.7749
WindDir3pm,NNW,7870,5.5724
WindDir3pm,ENE,7857,5.5632
WindDir3pm,NNE,6590,4.6661
RainToday,No,110319,77.5807
RainToday,Yes,31880,22.4193
RainTomorrow,No,110316,77.5819
RainTomorrow,Yes,31877,22.4181
