Column,Pandas dtype,Logical variable type,Non-null values,Missing values,Missing percentage,Unique non-null values
Date,str,date/time,145460,0,0.0,3436
Location,str,categorical nominal,145460,0,0.0,49
MinTemp,float64,numerical continuous,143975,1485,1.0209,389
MaxTemp,float64,numerical continuous,144199,1261,0.8669,505
Rainfall,float64,numerical continuous,142199,3261,2.2419,681
Evaporation,float64,numerical continuous,82670,62790,43.1665,358
Sunshine,float64,numerical continuous,75625,69835,48.0098,145
WindGustDir,str,categorical nominal,135134,10326,7.0989,16
WindGustSpeed,float64,numerical continuous,135197,10263,7.0555,67
WindDir9am,str,categorical nominal,134894,10566,7.2639,16
WindDir3pm,str,categorical nominal,141232,4228,2.9066,16
WindSpeed9am,float64,numerical continuous,143693,1767,1.2148,43
WindSpeed3pm,float64,numerical continuous,142398,3062,2.105,44
Humidity9am,float64,numerical continuous,142806,2654,1.8246,101
Humidity3pm,float64,numerical continuous,140953,4507,3.0984,101
Pressure9am,float64,numerical continuous,130395,15065,10.3568,546
Pressure3pm,float64,numerical continuous,130432,15028,10.3314,549
Cloud9am,float64,numerical discrete,89572,55888,38.4216,10
Cloud3pm,float64,numerical discrete,86102,59358,40.8071,10
Temp9am,float64,numerical continuous,143693,1767,1.2148,441
Temp3pm,float64,numerical continuous,141851,3609,2.4811,502
RainToday,str,categorical binary,142199,3261,2.2419,2
RainTomorrow,str,target,142193,3267,2.246,2
