Location,Start date,End date,Record count,Unique dates
Adelaide,2008-07-01,2017-06-25,3193,3193
Albany,2008-12-01,2017-06-25,3040,3040
Albury,2008-12-01,2017-06-25,3040,3040
AliceSprings,2008-12-01,2017-06-25,3040,3040
BadgerysCreek,2009-01-01,2017-06-25,3009,3009
Ballarat,2008-12-01,2017-06-25,3040,3040
Bendigo,2008-12-01,2017-06-25,3040,3040
Brisbane,2008-07-01,2017-06-25,3193,3193
Cairns,2008-12-01,2017-06-25,3040,3040
Canberra,2007-11-01,2017-06-25,3436,3436
Cobar,2009-01-01,2017-06-25,3009,3009
CoffsHarbour,2009-01-01,2017-06-25,3009,3009
Dartmoor,2009-01-01,2017-06-25,3009,3009
Darwin,2008-07-01,2017-06-25,3193,3193
GoldCoast,2008-12-01,2017-06-25,3040,3040
Hobart,2008-07-01,2017-06-25,3193,3193
Katherine,2013-03-01,2017-06-25,1578,1578
Launceston,2008-12-01,2017-06-25,3040,3040
Melbourne,2008-07-01,2017-06-25,3193,3193
MelbourneAirport,2009-01-01,2017-06-25,3009,3009
Mildura,2009-01-01,2017-06-25,3009,3009
Moree,2009-01-01,2017-06-25,3009,3009
MountGambier,2008-12-01,2017-06-25,3040,3040
MountGinini,2008-12-01,2017-06-25,3040,3040
Newcastle,2008-12-01,2017-06-24,3039,3039
Nhil,2013-03-01,2017-06-25,1578,1578
NorahHead,2009-01-01,2017-06-25,3004,3004
NorfolkIsland,2009-01-01,2017-06-25,3009,3009
Nuriootpa,2009-01-01,2017-06-25,3009,3009
PearceRAAF,2009-01-01,2017-06-25,3009,3009
Penrith,2008-12-01,2017-06-25,3039,3039
Perth,2008-07-01,2017-06-25,3193,3193
PerthAirport,2009-01-01,2017-06-25,3009,3009
Portland,2009-01-01,2017-06-25,3009,3009
Richmond,2009-01-01,2017-06-25,3009,3009
Sale,2009-01-01,2017-06-25,3009,3009
SalmonGums,2009-01-01,2017-06-25,3001,3001
Sydney,2008-02-01,2017-06-25,3344,3344
SydneyAirport,2009-01-01,2017-06-25,3009,3009
Townsville,2008-12-01,2017-06-25,3040,3040
Tuggeranong,2008-12-01,2017-06-25,3039,3039
Uluru,2013-03-01,2017-06-25,1578,1578
WaggaWagga,2009-01-01,2017-06-25,3009,3009
Walpole,2009-01-01,2017-06-25,3006,3006
Watsonia,2009-01-01,2017-06-25,3009,3009
Williamtown,2009-01-01,2017-06-25,3009,3009
Witchcliffe,2009-01-01,2017-06-25,3009,3009
Wollongong,2008-12-01,2017-06-25,3040,3040
Woomera,2009-01-01,2017-06-25,3009,3009
