Feature,Count,Mean,Standard deviation,Minimum,25th percentile,Median,75th percentile,Maximum
MinTemp,143975.0,12.194034380968919,6.398494975663227,-8.5,7.6,12.0,16.9,33.9
MaxTemp,144199.0,23.221348275646847,7.119048845979133,-4.8,17.9,22.6,28.2,48.1
Rainfall,142199.0,2.360918149916666,8.478059737726372,0.0,0.0,0.0,0.8,371.0
Evaporation,82670.0,5.468231522922462,4.1937040941517845,0.0,2.6,4.8,7.4,145.0
Sunshine,75625.0,7.611177520661157,3.785482964740167,0.0,4.8,8.4,10.6,14.5
WindGustSpeed,135197.0,40.03523007167319,13.607062267381362,6.0,31.0,39.0,48.0,135.0
WindSpeed9am,143693.0,14.043425914971502,8.915375322679527,0.0,7.0,13.0,19.0,130.0
WindSpeed3pm,142398.0,18.662656778887342,8.809800021251492,0.0,13.0,19.0,24.0,87.0
Humidity9am,142806.0,68.88083133761887,19.02916445184414,0.0,57.0,70.0,83.0,100.0
Humidity3pm,140953.0,51.5391158755046,20.795901656021154,0.0,37.0,52.0,66.0,100.0
Pressure9am,130395.0,1017.6499397983052,7.106530287523088,980.5,1012.9,1017.6,1022.4,1041.0
Pressure3pm,130432.0,1015.2558888309618,7.037413808167776,977.1,1010.4,1015.2,1020.0,1039.6
Cloud9am,89572.0,4.4474612602152455,2.887158853517239,0.0,1.0,5.0,7.0,9.0
Cloud3pm,86102.0,4.509930082924903,2.7203573103324588,0.0,2.0,5.0,7.0,9.0
Temp9am,143693.0,16.990631415587398,6.488753140877267,-7.2,12.3,16.7,21.6,40.2
Temp3pm,141851.0,21.683390318009746,6.9366504600355245,-5.4,16.6,21.1,26.4,46.7
