Location,Feature,Record count,Missing count,Missing percentage,Non-missing count,Coverage classification
Adelaide,Cloud3pm,3193,3193,100.0,0,Complete absence
BadgerysCreek,Cloud3pm,3009,3009,100.0,0,Complete absence
Dartmoor,Cloud3pm,3009,3009,100.0,0,Complete absence
GoldCoast,Cloud3pm,3040,3040,100.0,0,Complete absence
MountGinini,Cloud3pm,3040,3040,100.0,0,Complete absence
Nhil,Cloud3pm,1578,1578,100.0,0,Complete absence
NorahHead,Cloud3pm,3004,3004,100.0,0,Complete absence
Penrith,Cloud3pm,3039,3039,100.0,0,Complete absence
SalmonGums,Cloud3pm,3001,3001,100.0,0,Complete absence
Tuggeranong,Cloud3pm,3039,3039,100.0,0,Complete absence
Walpole,Cloud3pm,3006,3006,100.0,0,Complete absence
Witchcliffe,Cloud3pm,3009,3009,100.0,0,Complete absence
Adelaide,Cloud9am,3193,3193,100.0,0,Complete absence
BadgerysCreek,Cloud9am,3009,3009,100.0,0,Complete absence
Dartmoor,Cloud9am,3009,3009,100.0,0,Complete absence
GoldCoast,Cloud9am,3040,3040,100.0,0,Complete absence
MountGinini,Cloud9am,3040,3040,100.0,0,Complete absence
Nhil,Cloud9am,1578,1578,100.0,0,Complete absence
NorahHead,Cloud9am,3004,3004,100.0,0,Complete absence
Penrith,Cloud9am,3039,3039,100.0,0,Complete absence
SalmonGums,Cloud9am,3001,3001,100.0,0,Complete absence
Tuggeranong,Cloud9am,3039,3039,100.0,0,Complete absence
Walpole,Cloud9am,3006,3006,100.0,0,Complete absence
Witchcliffe,Cloud9am,3009,3009,100.0,0,Complete absence
Albury,Evaporation,3040,3040,100.0,0,Complete absence
BadgerysCreek,Evaporation,3009,3009,100.0,0,Complete absence
Ballarat,Evaporation,3040,3040,100.0,0,Complete absence
GoldCoast,Evaporation,3040,3040,100.0,0,Complete absence
MountGinini,Evaporation,3040,3040,100.0,0,Complete absence
Newcastle,Evaporation,3039,3039,100.0,0,Complete absence
Nhil,Evaporation,1578,1578,100.0,0,Complete absence
NorahHead,Evaporation,3004,3004,100.0,0,Complete absence
PearceRAAF,Evaporation,3009,3009,100.0,0,Complete absence
Penrith,Evaporation,3039,3039,100.0,0,Complete absence
SalmonGums,Evaporation,3001,3001,100.0,0,Complete absence
Tuggeranong,Evaporation,3039,3039,100.0,0,Complete absence
Uluru,Evaporation,1578,1578,100.0,0,Complete absence
Walpole,Evaporation,3006,3006,100.0,0,Complete absence
Witchcliffe,Evaporation,3009,3009,100.0,0,Complete absence
Wollongong,Evaporation,3040,3040,100.0,0,Complete absence
MountGinini,Pressure3pm,3040,3040,100.0,0,Complete absence
Newcastle,Pressure3pm,3039,3039,100.0,0,Complete absence
Penrith,Pressure3pm,3039,3039,100.0,0,Complete absence
SalmonGums,Pressure3pm,3001,3001,100.0,0,Complete absence
MountGinini,Pressure9am,3040,3040,100.0,0,Complete absence
Newcastle,Pressure9am,3039,3039,100.0,0,Complete absence
Penrith,Pressure9am,3039,3039,100.0,0,Complete absence
SalmonGums,Pressure9am,3001,3001,100.0,0,Complete absence
Albury,Sunshine,3040,3040,100.0,0,Complete absence
BadgerysCreek,Sunshine,3009,3009,100.0,0,Complete absence
Ballarat,Sunshine,3040,3040,100.0,0,Complete absence
Bendigo,Sunshine,3040,3040,100.0,0,Complete absence
GoldCoast,Sunshine,3040,3040,100.0,0,Complete absence
Katherine,Sunshine,1578,1578,100.0,0,Complete absence
Launceston,Sunshine,3040,3040,100.0,0,Complete absence
MountGinini,Sunshine,3040,3040,100.0,0,Complete absence
Newcastle,Sunshine,3039,3039,100.0,0,Complete absence
Nhil,Sunshine,1578,1578,100.0,0,Complete absence
NorahHead,Sunshine,3004,3004,100.0,0,Complete absence
Penrith,Sunshine,3039,3039,100.0,0,Complete absence
Richmond,Sunshine,3009,3009,100.0,0,Complete absence
SalmonGums,Sunshine,3001,3001,100.0,0,Complete absence
Tuggeranong,Sunshine,3039,3039,100.0,0,Complete absence
Uluru,Sunshine,1578,1578,100.0,0,Complete absence
Walpole,Sunshine,3006,3006,100.0,0,Complete absence
Witchcliffe,Sunshine,3009,3009,100.0,0,Complete absence
Wollongong,Sunshine,3040,3040,100.0,0,Complete absence
Albany,WindGustDir,3040,3040,100.0,0,Complete absence
Newcastle,WindGustDir,3039,3039,100.0,0,Complete absence
Albany,WindGustSpeed,3040,3040,100.0,0,Complete absence
Newcastle,WindGustSpeed,3039,3039,100.0,0,Complete absence
