Location,Feature,Record count,Missing count,Missing percentage,Non-missing count,Coverage classification
Adelaide,Sunshine,3193,1424,44.5976,1769,Partial missingness
Adelaide,Evaporation,3193,1489,46.6333,1704,Partial missingness
Adelaide,Cloud9am,3193,3193,100.0,0,Complete absence
Adelaide,Cloud3pm,3193,3193,100.0,0,Complete absence
Adelaide,Pressure9am,3193,8,0.2505,3185,Good coverage
Adelaide,Pressure3pm,3193,7,0.2192,3186,Good coverage
Adelaide,WindDir9am,3193,274,8.5813,2919,Partial missingness
Adelaide,WindGustDir,3193,26,0.8143,3167,Good coverage
Adelaide,WindGustSpeed,3193,26,0.8143,3167,Good coverage
Albany,Sunshine,3040,520,17.1053,2520,Partial missingness
Albany,Evaporation,3040,290,9.5395,2750,Partial missingness
Albany,Cloud9am,3040,38,1.25,3002,Good coverage
Albany,Cloud3pm,3040,711,23.3882,2329,Partial missingness
Albany,Pressure9am,3040,25,0.8224,3015,Good coverage
Albany,Pressure3pm,3040,25,0.8224,3015,Good coverage
Albany,WindDir9am,3040,247,8.125,2793,Partial missingness
Albany,WindGustDir,3040,3040,100.0,0,Complete absence
Albany,WindGustSpeed,3040,3040,100.0,0,Complete absence
Albury,Sunshine,3040,3040,100.0,0,Complete absence
Albury,Evaporation,3040,3040,100.0,0,Complete absence
Albury,Cloud9am,3040,1751,57.5987,1289,Partial missingness
Albury,Cloud3pm,3040,1613,53.0592,1427,Partial missingness
Albury,Pressure9am,3040,5,0.1645,3035,Good coverage
Albury,Pressure3pm,3040,8,0.2632,3032,Good coverage
Albury,WindDir9am,3040,525,17.2697,2515,Partial missingness
Albury,WindGustDir,3040,32,1.0526,3008,Good coverage
Albury,WindGustSpeed,3040,32,1.0526,3008,Good coverage
AliceSprings,Sunshine,3040,520,17.1053,2520,Partial missingness
AliceSprings,Evaporation,3040,215,7.0724,2825,Partial missingness
AliceSprings,Cloud9am,3040,334,10.9868,2706,Partial missingness
AliceSprings,Cloud3pm,3040,361,11.875,2679,Partial missingness
AliceSprings,Pressure9am,3040,1,0.0329,3039,Good coverage
AliceSprings,Pressure3pm,3040,3,0.0987,3037,Good coverage
AliceSprings,WindDir9am,3040,230,7.5658,2810,Partial missingness
AliceSprings,WindGustDir,3040,51,1.6776,2989,Good coverage
AliceSprings,WindGustSpeed,3040,51,1.6776,2989,Good coverage
BadgerysCreek,Sunshine,3009,3009,100.0,0,Complete absence
BadgerysCreek,Evaporation,3009,3009,100.0,0,Complete absence
BadgerysCreek,Cloud9am,3009,3009,100.0,0,Complete absence
BadgerysCreek,Cloud3pm,3009,3009,100.0,0,Complete absence
BadgerysCreek,Pressure9am,3009,168,5.5833,2841,Partial missingness
BadgerysCreek,Pressure3pm,3009,173,5.7494,2836,Partial missingness
BadgerysCreek,WindDir9am,3009,435,14.4566,2574,Partial missingness
BadgerysCreek,WindGustDir,3009,76,2.5258,2933,Good coverage
BadgerysCreek,WindGustSpeed,3009,76,2.5258,2933,Good coverage
Ballarat,Sunshine,3040,3040,100.0,0,Complete absence
Ballarat,Evaporation,3040,3040,100.0,0,Complete absence
Ballarat,Cloud9am,3040,546,17.9605,2494,Partial missingness
Ballarat,Cloud3pm,3040,1048,34.4737,1992,Partial missingness
Ballarat,Pressure9am,3040,24,0.7895,3016,Good coverage
Ballarat,Pressure3pm,3040,26,0.8553,3014,Good coverage
Ballarat,WindDir9am,3040,91,2.9934,2949,Good coverage
Ballarat,WindGustDir,3040,31,1.0197,3009,Good coverage
Ballarat,WindGustSpeed,3040,31,1.0197,3009,Good coverage
Bendigo,Sunshine,3040,3040,100.0,0,Complete absence
Bendigo,Evaporation,3040,1855,61.0197,1185,Partial missingness
Bendigo,Cloud9am,3040,968,31.8421,2072,Partial missingness
Bendigo,Cloud3pm,3040,772,25.3947,2268,Partial missingness
Bendigo,Pressure9am,3040,15,0.4934,3025,Good coverage
Bendigo,Pressure3pm,3040,10,0.3289,3030,Good coverage
Bendigo,WindDir9am,3040,244,8.0263,2796,Partial missingness
Bendigo,WindGustDir,3040,41,1.3487,2999,Good coverage
Bendigo,WindGustSpeed,3040,40,1.3158,3000,Good coverage
Brisbane,Sunshine,3193,49,1.5346,3144,Good coverage
Brisbane,Evaporation,3193,19,0.5951,3174,Good coverage
Brisbane,Cloud9am,3193,1,0.0313,3192,Good coverage
Brisbane,Cloud3pm,3193,2,0.0626,3191,Good coverage
Brisbane,Pressure9am,3193,1,0.0313,3192,Good coverage
Brisbane,Pressure3pm,3193,8,0.2505,3185,Good coverage
Brisbane,WindDir9am,3193,70,2.1923,3123,Good coverage
Brisbane,WindGustDir,3193,41,1.2841,3152,Good coverage
Brisbane,WindGustSpeed,3193,41,1.2841,3152,Good coverage
Cairns,Sunshine,3040,476,15.6579,2564,Partial missingness
Cairns,Evaporation,3040,370,12.1711,2670,Partial missingness
Cairns,Cloud9am,3040,207,6.8092,2833,Partial missingness
Cairns,Cloud3pm,3040,230,7.5658,2810,Partial missingness
Cairns,Pressure9am,3040,1,0.0329,3039,Good coverage
Cairns,Pressure3pm,3040,0,0.0,3040,Good coverage
Cairns,WindDir9am,3040,43,1.4145,2997,Good coverage
Cairns,WindGustDir,3040,19,0.625,3021,Good coverage
Cairns,WindGustSpeed,3040,18,0.5921,3022,Good coverage
Canberra,Sunshine,3436,1915,55.7334,1521,Partial missingness
Canberra,Evaporation,3436,1604,46.6822,1832,Partial missingness
Canberra,Cloud9am,3436,1072,31.1991,2364,Partial missingness
Canberra,Cloud3pm,3436,1263,36.7579,2173,Partial missingness
Canberra,Pressure9am,3436,226,6.5774,3210,Partial missingness
Canberra,Pressure3pm,3436,221,6.4319,3215,Partial missingness
Canberra,WindDir9am,3436,541,15.7451,2895,Partial missingness
Canberra,WindGustDir,3436,339,9.8661,3097,Partial missingness
Canberra,WindGustSpeed,3436,337,9.8079,3099,Partial missingness
Cobar,Sunshine,3009,2459,81.7215,550,Partial missingness
Cobar,Evaporation,3009,343,11.3991,2666,Partial missingness
Cobar,Cloud9am,3009,380,12.6288,2629,Partial missingness
Cobar,Cloud3pm,3009,308,10.236,2701,Partial missingness
Cobar,Pressure9am,3009,30,0.997,2979,Good coverage
Cobar,Pressure3pm,3009,26,0.8641,2983,Good coverage
Cobar,WindDir9am,3009,27,0.8973,2982,Good coverage
Cobar,WindGustDir,3009,42,1.3958,2967,Good coverage
Cobar,WindGustSpeed,3009,42,1.3958,2967,Good coverage
CoffsHarbour,Sunshine,3009,1515,50.349,1494,Partial missingness
CoffsHarbour,Evaporation,3009,1224,40.678,1785,Partial missingness
CoffsHarbour,Cloud9am,3009,813,27.0189,2196,Partial missingness
CoffsHarbour,Cloud3pm,3009,778,25.8558,2231,Partial missingness
CoffsHarbour,Pressure9am,3009,311,10.3357,2698,Partial missingness
CoffsHarbour,Pressure3pm,3009,312,10.3689,2697,Partial missingness
CoffsHarbour,WindDir9am,3009,347,11.5321,2662,Partial missingness
CoffsHarbour,WindGustDir,3009,359,11.9309,2650,Partial missingness
CoffsHarbour,WindGustSpeed,3009,359,11.9309,2650,Partial missingness
Dartmoor,Sunshine,3009,443,14.7225,2566,Partial missingness
Dartmoor,Evaporation,3009,409,13.5926,2600,Partial missingness
Dartmoor,Cloud9am,3009,3009,100.0,0,Complete absence
Dartmoor,Cloud3pm,3009,3009,100.0,0,Complete absence
Dartmoor,Pressure9am,3009,64,2.127,2945,Good coverage
Dartmoor,Pressure3pm,3009,65,2.1602,2944,Good coverage
Dartmoor,WindDir9am,3009,568,18.8767,2441,Partial missingness
Dartmoor,WindGustDir,3009,69,2.2931,2940,Good coverage
Dartmoor,WindGustSpeed,3009,69,2.2931,2940,Good coverage
Darwin,Sunshine,3193,4,0.1253,3189,Good coverage
Darwin,Evaporation,3193,54,1.6912,3139,Good coverage
Darwin,Cloud9am,3193,1,0.0313,3192,Good coverage
Darwin,Cloud3pm,3193,3,0.094,3190,Good coverage
Darwin,Pressure9am,3193,1,0.0313,3192,Good coverage
Darwin,Pressure3pm,3193,2,0.0626,3191,Good coverage
Darwin,WindDir9am,3193,28,0.8769,3165,Good coverage
Darwin,WindGustDir,3193,46,1.4407,3147,Good coverage
Darwin,WindGustSpeed,3193,42,1.3154,3151,Good coverage
GoldCoast,Sunshine,3040,3040,100.0,0,Complete absence
