Location,Year,Feature,Record count,Missing count,Missing percentage
Adelaide,2008,Sunshine,184,4,2.1739
Adelaide,2008,Evaporation,184,55,29.8913
Adelaide,2008,Cloud9am,184,184,100.0
Adelaide,2008,Cloud3pm,184,184,100.0
Adelaide,2008,Pressure9am,184,1,0.5435
Adelaide,2008,Pressure3pm,184,0,0.0
Adelaide,2008,WindDir9am,184,5,2.7174
Adelaide,2008,WindGustDir,184,4,2.1739
Adelaide,2008,WindGustSpeed,184,4,2.1739
Adelaide,2009,Sunshine,365,6,1.6438
Adelaide,2009,Evaporation,365,109,29.863
Adelaide,2009,Cloud9am,365,365,100.0
Adelaide,2009,Cloud3pm,365,365,100.0
Adelaide,2009,Pressure9am,365,1,0.274
Adelaide,2009,Pressure3pm,365,1,0.274
Adelaide,2009,WindDir9am,365,21,5.7534
Adelaide,2009,WindGustDir,365,4,1.0959
Adelaide,2009,WindGustSpeed,365,4,1.0959
Adelaide,2010,Sunshine,365,16,4.3836
Adelaide,2010,Evaporation,365,114,31.2329
Adelaide,2010,Cloud9am,365,365,100.0
Adelaide,2010,Cloud3pm,365,365,100.0
Adelaide,2010,Pressure9am,365,0,0.0
Adelaide,2010,Pressure3pm,365,2,0.5479
Adelaide,2010,WindDir9am,365,35,9.589
Adelaide,2010,WindGustDir,365,3,0.8219
Adelaide,2010,WindGustSpeed,365,3,0.8219
Adelaide,2011,Sunshine,335,4,1.194
Adelaide,2011,Evaporation,335,101,30.1493
Adelaide,2011,Cloud9am,335,335,100.0
Adelaide,2011,Cloud3pm,335,335,100.0
Adelaide,2011,Pressure9am,335,0,0.0
Adelaide,2011,Pressure3pm,335,0,0.0
Adelaide,2011,WindDir9am,335,18,5.3731
Adelaide,2011,WindGustDir,335,3,0.8955
Adelaide,2011,WindGustSpeed,335,3,0.8955
Adelaide,2012,Sunshine,335,230,68.6567
Adelaide,2012,Evaporation,335,101,30.1493
Adelaide,2012,Cloud9am,335,335,100.0
Adelaide,2012,Cloud3pm,335,335,100.0
Adelaide,2012,Pressure9am,335,1,0.2985
Adelaide,2012,Pressure3pm,335,0,0.0
Adelaide,2012,WindDir9am,335,33,9.8507
Adelaide,2012,WindGustDir,335,2,0.597
Adelaide,2012,WindGustSpeed,335,2,0.597
Adelaide,2013,Sunshine,337,9,2.6706
Adelaide,2013,Evaporation,337,103,30.5638
Adelaide,2013,Cloud9am,337,337,100.0
Adelaide,2013,Cloud3pm,337,337,100.0
Adelaide,2013,Pressure9am,337,0,0.0
Adelaide,2013,Pressure3pm,337,0,0.0
Adelaide,2013,WindDir9am,337,20,5.9347
Adelaide,2013,WindGustDir,337,0,0.0
Adelaide,2013,WindGustSpeed,337,0,0.0
Adelaide,2014,Sunshine,365,248,67.9452
Adelaide,2014,Evaporation,365,114,31.2329
Adelaide,2014,Cloud9am,365,365,100.0
Adelaide,2014,Cloud3pm,365,365,100.0
Adelaide,2014,Pressure9am,365,0,0.0
Adelaide,2014,Pressure3pm,365,0,0.0
Adelaide,2014,WindDir9am,365,27,7.3973
Adelaide,2014,WindGustDir,365,0,0.0
