Period type,Period,Feature,Record count,Missing count,Missing percentage,Non-missing count
Year,2007,Sunshine,61,0,0.0,61
Year,2007,Evaporation,61,0,0.0,61
Year,2007,Cloud9am,61,0,0.0,61
Year,2007,Cloud3pm,61,0,0.0,61
Year,2007,Pressure9am,61,0,0.0,61
Year,2007,Pressure3pm,61,0,0.0,61
Year,2007,WindDir9am,61,0,0.0,61
Year,2007,WindGustDir,61,0,0.0,61
Year,2007,WindGustSpeed,61,0,0.0,61
Year,2008,Sunshine,2270,323,14.2291,1947
Year,2008,Evaporation,2270,339,14.9339,1931
Year,2008,Cloud9am,2270,379,16.696,1891
Year,2008,Cloud3pm,2270,389,17.1366,1881
Year,2008,Pressure9am,2270,95,4.185,2175
Year,2008,Pressure3pm,2270,94,4.141,2176
Year,2008,WindDir9am,2270,92,4.0529,2178
Year,2008,WindGustDir,2270,453,19.9559,1817
Year,2008,WindGustSpeed,2270,452,19.9119,1818
Year,2009,Sunshine,16789,6146,36.6073,10643
Year,2009,Evaporation,16789,5714,34.0342,11075
Year,2009,Cloud9am,16789,5567,33.1586,11222
Year,2009,Cloud3pm,16789,5802,34.5583,10987
Year,2009,Pressure9am,16789,1745,10.3937,15044
Year,2009,Pressure3pm,16789,1746,10.3997,15043
Year,2009,WindDir9am,16789,1383,8.2375,15406
Year,2009,WindGustDir,16789,1718,10.2329,15071
Year,2009,WindGustSpeed,16789,1716,10.221,15073
Year,2010,Sunshine,16782,6220,37.0635,10562
Year,2010,Evaporation,16782,5925,35.3057,10857
Year,2010,Cloud9am,16782,5532,32.9639,11250
Year,2010,Cloud3pm,16782,5683,33.8637,11099
Year,2010,Pressure9am,16782,1624,9.677,15158
Year,2010,Pressure3pm,16782,1618,9.6413,15164
Year,2010,WindDir9am,16782,1511,9.0037,15271
Year,2010,WindGustDir,16782,1546,9.2123,15236
Year,2010,WindGustSpeed,16782,1543,9.1944,15239
Year,2011,Sunshine,15407,6053,39.2873,9354
Year,2011,Evaporation,15407,5797,37.6258,9610
Year,2011,Cloud9am,15407,5840,37.9048,9567
Year,2011,Cloud3pm,15407,6078,39.4496,9329
Year,2011,Pressure9am,15407,1559,10.1188,13848
Year,2011,Pressure3pm,15407,1542,10.0084,13865
Year,2011,WindDir9am,15407,1036,6.7242,14371
Year,2011,WindGustDir,15407,1028,6.6723,14379
Year,2011,WindGustSpeed,15407,1026,6.6593,14381
Year,2012,Sunshine,15409,6539,42.4362,8870
Year,2012,Evaporation,15409,6056,39.3017,9353
Year,2012,Cloud9am,15409,5869,38.0881,9540
Year,2012,Cloud3pm,15409,6139,39.8404,9270
Year,2012,Pressure9am,15409,1379,8.9493,14030
Year,2012,Pressure3pm,15409,1391,9.0272,14018
Year,2012,WindDir9am,15409,1138,7.3853,14271
Year,2012,WindGustDir,15409,877,5.6915,14532
Year,2012,WindGustSpeed,15409,872,5.659,14537
Year,2013,Sunshine,16415,7570,46.1164,8845
Year,2013,Evaporation,16415,6428,39.1593,9987
Year,2013,Cloud9am,16415,6769,41.2367,9646
Year,2013,Cloud3pm,16415,6818,41.5352,9597
Year,2013,Pressure9am,16415,1384,8.4313,15031
Year,2013,Pressure3pm,16415,1372,8.3582,15043
Year,2013,WindDir9am,16415,1110,6.7621,15305
Year,2013,WindGustDir,16415,852,5.1904,15563
Year,2013,WindGustSpeed,16415,825,5.0259,15590
Year,2014,Sunshine,17885,9157,51.1993,8728
Year,2014,Evaporation,17885,8227,45.9994,9658
Year,2014,Cloud9am,17885,7149,39.972,10736
Year,2014,Cloud3pm,17885,7221,40.3746,10664
Year,2014,Pressure9am,17885,2014,11.2608,15871
Year,2014,Pressure3pm,17885,2003,11.1993,15882
Year,2014,WindDir9am,17885,1475,8.2471,16410
Year,2014,WindGustDir,17885,1191,6.6592,16694
Year,2014,WindGustSpeed,17885,1189,6.648,16696
Year,2015,Sunshine,17885,9441,52.7873,8444
Year,2015,Evaporation,17885,8691,48.5938,9194
Year,2015,Cloud9am,17885,7105,39.726,10780
Year,2015,Cloud3pm,17885,7528,42.0911,10357
Year,2015,Pressure9am,17885,2396,13.3967,15489
Year,2015,Pressure3pm,17885,2392,13.3743,15493
Year,2015,WindDir9am,17885,1182,6.6089,16703
Year,2015,WindGustDir,17885,1025,5.7311,16860
Year,2015,WindGustSpeed,17885,1004,5.6136,16881
Year,2016,Sunshine,17934,11994,66.8786,5940
Year,2016,Evaporation,17934,9860,54.9794,8074
Year,2016,Cloud9am,17934,7645,42.6285,10289
Year,2016,Cloud3pm,17934,8985,50.1004,8949
Year,2016,Pressure9am,17934,1980,11.0405,15954
