Feature,Category,Category frequency among labelled rows,Category percentage among labelled rows,Yes count,No count,RainTomorrow Yes rate
RainToday,No,109332,76.8899,16604,92728,15.1868
RainToday,Yes,31455,22.1213,14597,16858,46.406
RainToday,<Missing>,1406,0.9888,676,730,48.0797
WindGustDir,E,9071,6.3794,1350,7721,14.8826
WindGustDir,ENE,7992,5.6205,1288,6704,16.1161
WindGustDir,ESE,7305,5.1374,1200,6105,16.4271
WindGustDir,N,9033,6.3526,2452,6581,27.1449
WindGustDir,NE,7060,4.9651,1319,5741,18.6827
WindGustDir,NNE,6433,4.5241,1481,4952,23.0219
WindGustDir,NNW,6561,4.6142,1863,4698,28.3951
WindGustDir,NW,8003,5.6283,2284,5719,28.5393
WindGustDir,S,8949,6.2936,2017,6932,22.5388
WindGustDir,SE,9309,6.5467,1733,7576,18.6164
WindGustDir,SSE,8993,6.3245,1755,7238,19.5152
WindGustDir,SSW,8610,6.0552,1897,6713,22.0325
WindGustDir,SW,8797,6.1867,1804,6993,20.507
WindGustDir,W,9780,6.878,2607,7173,26.6564
WindGustDir,WNW,8066,5.6726,2275,5791,28.2048
WindGustDir,WSW,8901,6.2598,2085,6816,23.4243
WindGustDir,<Missing>,9330,6.5615,2467,6863,26.4416
WindDir9am,E,9024,6.3463,1315,7709,14.5723
WindDir9am,ENE,7735,5.4398,1365,6370,17.6471
WindDir9am,ESE,7558,5.3153,1118,6440,14.7923
WindDir9am,N,11393,8.0123,3510,7883,30.8084
WindDir9am,NE,7527,5.2935,1568,5959,20.8317
WindDir9am,NNE,7948,5.5896,2137,5811,26.8873
WindDir9am,NNW,7840,5.5136,2430,5410,30.9949
WindDir9am,NW,8552,6.0144,2389,6163,27.935
WindDir9am,S,8493,5.9729,1681,6812,19.7928
WindDir9am,SE,9162,6.4434,1491,7671,16.2737
WindDir9am,SSE,8966,6.3055,1601,7365,17.8563
WindDir9am,SSW,7448,5.238,1645,5803,22.0865
WindDir9am,SW,8237,5.7928,1909,6328,23.1759
WindDir9am,W,8260,5.809,2157,6103,26.1138
WindDir9am,WNW,7194,5.0593,1948,5246,27.0781
WindDir9am,WSW,6843,4.8125,1692,5151,24.726
WindDir9am,<Missing>,10013,7.0418,1921,8092,19.1851
WindDir3pm,E,8342,5.8667,1429,6913,17.1302
WindDir3pm,ENE,7724,5.4321,1382,6342,17.8923
WindDir3pm,ESE,8382,5.8948,1421,6961,16.953
WindDir3pm,N,8667,6.0952,2421,6246,27.9335
WindDir3pm,NE,8164,5.7415,1541,6623,18.8756
WindDir3pm,NNE,6444,4.5319,1577,4867,24.4724
WindDir3pm,NNW,7733,5.4384,2186,5547,28.2685
WindDir3pm,NW,8468,5.9553,2393,6075,28.2593
WindDir3pm,S,9598,6.75,2075,7523,21.6191
WindDir3pm,SE,10663,7.499,2031,8632,19.0472
WindDir3pm,SSE,9142,6.4293,1750,7392,19.1424
WindDir3pm,SSW,8010,5.6332,1789,6221,22.3346
WindDir3pm,SW,9182,6.4574,1808,7374,19.6907
WindDir3pm,W,9911,6.9701,2528,7383,25.507
WindDir3pm,WNW,8656,6.0875,2400,6256,27.7264
WindDir3pm,WSW,9329,6.5608,2093,7236,22.4354
WindDir3pm,<Missing>,3778,2.657,1053,2725,27.8719
Location,Adelaide,3090,2.1731,688,2402,22.2654
Location,Albany,3016,2.1211,902,2114,29.9072
Location,Albury,3011,2.1175,618,2393,20.5247
Location,AliceSprings,3031,2.1316,244,2787,8.0501
Location,BadgerysCreek,2928,2.0592,583,2345,19.9112
Location,Ballarat,3028,2.1295,781,2247,25.7926
Location,Bendigo,3034,2.1337,562,2472,18.5234
Location,Brisbane,3161,2.223,709,2452,22.4296
Location,Cairns,2988,2.1014,950,2038,31.7938
Location,Canberra,3418,2.4038,629,2789,18.4026
Location,Cobar,2988,2.1014,386,2602,12.9183
Location,CoffsHarbour,2953,2.0768,869,2084,29.4277
Location,Dartmoor,2943,2.0697,922,2021,31.3286
Location,Darwin,3192,2.2448,852,2340,26.6917
Location,GoldCoast,2980,2.0957,775,2205,26.0067
Location,Hobart,3188,2.242,761,2427,23.8708
Location,Katherine,1559,1.0964,265,1294,16.9981
Location,Launceston,3028,2.1295,699,2329,23.0845
Location,Melbourne,2435,1.7125,636,1799,26.1191
Location,MelbourneAirport,3009,2.1161,653,2356,21.7016
Location,Mildura,3007,2.1147,327,2680,10.8746
Location,Moree,2854,2.0071,394,2460,13.8052
Location,MountGambier,3030,2.1309,920,2110,30.363
Location,MountGinini,2907,2.0444,819,2088,28.1734
Location,Newcastle,2955,2.0782,731,2224,24.7377
Location,Nhil,1569,1.1034,242,1327,15.4238
Location,NorahHead,2929,2.0599,808,2121,27.5862
Location,NorfolkIsland,2964,2.0845,919,2045,31.0054
Location,Nuriootpa,3002,2.1112,592,2410,19.7202
Location,PearceRAAF,2762,1.9424,505,2257,18.2839
Location,Penrith,2964,2.0845,595,2369,20.0742
Location,Perth,3193,2.2455,645,2548,20.2004
Location,PerthAirport,3009,2.1161,567,2442,18.8435
Location,Portland,2996,2.107,1095,1901,36.5487
Location,Richmond,2951,2.0753,560,2391,18.9766
Location,Sale,3000,2.1098,643,2357,21.4333
Location,SalmonGums,2955,2.0782,472,2483,15.9729
Location,Sydney,3337,2.3468,865,2472,25.9215
Location,SydneyAirport,3005,2.1133,774,2231,25.7571
Location,Townsville,3033,2.133,519,2514,17.1118
Location,Tuggeranong,2998,2.1084,568,2430,18.946
Location,Uluru,1521,1.0697,116,1405,7.6266
Location,WaggaWagga,2976,2.0929,536,2440,18.0108
Location,Walpole,2819,1.9825,949,1870,33.6644
Location,Watsonia,2999,2.1091,738,2261,24.6082
Location,Williamtown,2553,1.7954,700,1853,27.4187
Location,Witchcliffe,2952,2.0761,879,2073,29.7764
Location,Wollongong,2983,2.0979,713,2270,23.9021
Location,Woomera,2990,2.1028,202,2788,6.7559
