Feature,RainTomorrow,Labelled class count,Available count,Missing within class,Mean,Standard deviation,25th percentile,Median,75th percentile
MinTemp,No,110316,109854,462,11.8977,6.3987,7.3,11.8,16.5
MinTemp,Yes,31877,31702,175,13.1869,6.318,8.5,12.7,17.9
MaxTemp,No,110316,110049,267,23.8362,7.0598,18.6,23.3,28.8
MaxTemp,Yes,31877,31822,55,21.1191,6.9115,16.1,20.2,25.8
Rainfall,No,110316,109586,730,1.2703,5.3322,0.0,0.0,0.2
Rainfall,Yes,31877,31201,676,6.1421,14.3183,0.0,0.8,6.2
Evaporation,No,110316,63491,46825,5.7348,4.3329,2.8,5.0,7.6
Evaporation,Yes,31877,17859,14018,4.5278,3.4691,2.2,3.8,6.2
Sunshine,No,110316,57556,52760,8.5464,3.3803,6.6,9.4,11.0
Sunshine,Yes,31877,16821,15056,4.4718,3.3593,1.4,4.3,7.1
WindGustSpeed,No,110316,103488,6828,38.2884,12.4065,30.0,37.0,44.0
WindGustSpeed,Yes,31877,29435,2442,45.9468,15.718,35.0,44.0,56.0
WindSpeed9am,No,110316,109308,1008,13.5673,8.6276,7.0,13.0,19.0
WindSpeed9am,Yes,31877,31537,340,15.5086,9.6077,9.0,15.0,20.0
WindSpeed3pm,No,110316,108369,1947,18.2228,8.4555,13.0,17.0,24.0
WindSpeed3pm,Yes,31877,31194,683,20.0785,9.7819,13.0,19.0,26.0
Humidity9am,No,110316,109076,1240,66.2176,19.0207,55.0,67.0,80.0
Humidity9am,Yes,31877,31343,534,77.9833,16.1084,68.0,80.0,91.0
Humidity3pm,No,110316,107670,2646,46.5106,18.4895,33.0,47.0,60.0
Humidity3pm,Yes,31877,30913,964,68.8,19.0374,57.0,70.0,84.0
Pressure9am,No,110316,99405,10911,1018.5956,6.7607,1014.0,1018.5,1023.1
Pressure9am,Yes,31877,28774,3103,1014.4,7.3044,1009.6,1014.3,1019.3
Pressure3pm,No,110316,99448,10868,1016.1136,6.7103,1011.5,1016.0,1020.6
Pressure3pm,Yes,31877,28764,3113,1012.3008,7.3317,1007.4,1012.2,1017.2
Cloud9am,No,110316,67914,42402,3.9323,2.8773,1.0,4.0,7.0
Cloud9am,Yes,31877,20622,11255,6.1,2.217,5.0,7.0,8.0
Cloud3pm,No,110316,64811,45505,3.9219,2.6673,1.0,4.0,7.0
Cloud3pm,Yes,31877,20288,11589,6.3601,1.9475,6.0,7.0,8.0
Temp9am,No,110316,109710,606,17.077,6.5228,12.4,16.9,21.7
Temp9am,Yes,31877,31579,298,16.6766,6.3781,11.9,16.1,21.1
Temp3pm,No,110316,108332,1984,22.4029,6.8505,17.4,21.9,27.1
Temp3pm,Yes,31877,31135,742,19.1971,6.658,14.3,18.4,23.6
