Month number,Month,Total record count,Labelled record count,Yes count,No count,Missing target count,Rain rate (Yes percentage)
1,January,13236,12921,2498,10423,315,19.3329
2,February,10793,10525,2207,8318,268,20.9691
3,March,13361,13036,2781,10255,325,21.3332
4,April,11550,11306,2463,8843,244,21.7849
5,May,13353,13055,2941,10114,298,22.5278
6,June,12684,12389,3244,9145,295,26.1845
7,July,12025,11779,3171,8608,246,26.9208
8,August,12028,11762,2970,8792,266,25.2508
9,September,11640,11345,2606,8739,295,22.9705
10,October,12028,11804,2310,9494,224,19.5696
11,November,11669,11461,2436,9025,208,21.2547
12,December,11093,10810,2250,8560,283,20.8141
