Year,Total record count,Labelled record count,Yes count,No count,Missing target count,Rain rate (Yes percentage)
2007,61,61,19,42,0,31.1475
2008,2270,2246,511,1735,24,22.7516
2009,16789,16595,3607,12988,194,21.7355
2010,16782,16419,3997,12422,363,24.3437
2011,15407,15126,3738,11388,281,24.7124
2012,15409,15044,3389,11655,365,22.5273
2013,16415,16097,3465,12632,318,21.5258
2014,17885,17400,3557,13843,485,20.4425
2015,17885,17231,3648,13583,654,21.1711
2016,17934,17508,4183,13325,426,23.8919
2017,8623,8466,1763,6703,157,20.8245
