Feature,Observed unusual value / rule,Number affected,Percentage affected,Statistical outlier?,Domain-plausible?,Classification,Recommended future handling,Reason
MinTemp,Observed endpoints -8.5 to 33.9 °C,2,0.001375,Yes; one or both endpoints cross an IQR fence,Plausible for Australian weather observations,likely valid extreme,Retain unchanged; consider robust scaling later if needed.,Extreme temperatures remain within credible terrestrial weather ranges.
MaxTemp,Observed endpoints -4.8 to 48.1 °C,2,0.001375,Yes; one or both endpoints cross an IQR fence,Plausible for Australian weather observations,likely valid extreme,Retain unchanged; consider robust scaling later if needed.,Extreme temperatures remain within credible terrestrial weather ranges.
Temp9am,Observed endpoints -7.2 to 40.2 °C,2,0.001375,Yes; one or both endpoints cross an IQR fence,Plausible for Australian weather observations,likely valid extreme,Retain unchanged; consider robust scaling later if needed.,Extreme temperatures remain within credible terrestrial weather ranges.
Temp3pm,Observed endpoints -5.4 to 46.7 °C,2,0.001375,Yes; one or both endpoints cross an IQR fence,Plausible for Australian weather observations,likely valid extreme,Retain unchanged; consider robust scaling later if needed.,Extreme temperatures remain within credible terrestrial weather ranges.
Humidity9am,Humidity = 0%,1,0.000687,Yes for Humidity9am; no for Humidity3pm under IQR screening,At the physical boundary; measurement context uncertain,unresolved,Retain for now; investigate station/date context before any later rule.,"No values violate 0–100%, but exact zero is rare and location-concentrated."
Humidity9am,Humidity = 100%,2863,1.968239,May be IQR-flagged depending on feature distribution,Yes; saturation is physically possible,likely valid extreme,Retain unchanged.,The value is within the credible humidity constraint and occurs repeatedly.
Humidity3pm,Humidity = 0%,4,0.00275,Yes for Humidity9am; no for Humidity3pm under IQR screening,At the physical boundary; measurement context uncertain,unresolved,Retain for now; investigate station/date context before any later rule.,"No values violate 0–100%, but exact zero is rare and location-concentrated."
Humidity3pm,Humidity = 100%,400,0.27499,May be IQR-flagged depending on feature distribution,Yes; saturation is physically possible,likely valid extreme,Retain unchanged.,The value is within the credible humidity constraint and occurs repeatedly.
Pressure9am,Observed endpoints 980.5 to 1041 hPa,2,0.001375,Yes; endpoints cross IQR fences,Plausible synoptic pressure range; no project-backed violation identified,likely valid extreme,Retain unchanged; use robust scaling later if warranted.,Low/high values are unusual but not clearly physically implausible.
Pressure3pm,Observed endpoints 977.1 to 1039.6 hPa,2,0.001375,Yes; endpoints cross IQR fences,Plausible synoptic pressure range; no project-backed violation identified,likely valid extreme,Retain unchanged; use robust scaling later if warranted.,Low/high values are unusual but not clearly physically implausible.
Cloud9am,Cloud value = 9,2,0.001375,No; value 9 is within the sample IQR fences,Outside the documented 0–8 okta scale; a special code remains possible,suspicious / investigate later,Retain unchanged in T05; verify source coding before recoding to 8 or missing.,"The value is rare and sporadic, but source metadata is insufficient to call it invalid."
Cloud3pm,Cloud value = 9,1,0.000687,No; value 9 is within the sample IQR fences,Outside the documented 0–8 okta scale; a special code remains possible,suspicious / investigate later,Retain unchanged in T05; verify source coding before recoding to 8 or missing.,"The value is rare and sporadic, but source metadata is insufficient to call it invalid."
Rainfall,Rainfall = 371 mm,1,0.000687,Yes,Plausible,likely valid extreme,Retain; consider a later transformation/robust method.,"Very rare and strongly right-tailed, with wet contextual observations; not a physical impossibility."
Evaporation,Evaporation = 145 mm,1,0.000687,Yes,Plausible but requires contextual review,suspicious / investigate later,Verify source record; consider capping or missing conversion only with evidence.,Single value far above the next observations and paired with heavy rainfall; validity is uncertain.
WindGustSpeed,WindGustSpeed = 135 km/h,3,0.002062,Yes,Plausible,likely valid extreme,Retain; robust scaling may be considered later.,"Occurs three times across stations, including storm-like rain/humidity context."
WindSpeed9am,WindSpeed9am = 130 km/h,1,0.000687,Yes,Plausible but requires contextual review,suspicious / investigate later,Verify the isolated record before any later capping or missing conversion.,Single isolated value with missing gust/afternoon wind and otherwise limited confirming context.
WindSpeed3pm,WindSpeed3pm maximum = 87 km/h,1,0.000687,Yes,Plausible,likely valid extreme,Retain; robust scaling may be considered later.,Upper-tail winds repeat across many stations and years.
Sunshine,Observed endpoints 0 to 14.5 hours,2360,1.622439,No IQR-flagged Sunshine values,Plausible daily duration,likely valid extreme,Retain unchanged.,Observed range is compatible with zero-sun days and long Australian summer days.
