Feature,Unit,Non-missing count,Minimum,1st percentile,5th percentile,25th percentile,Median,75th percentile,95th percentile,99th percentile,Maximum,IQR,Skewness
MinTemp,°C,143975,-8.5,-1.9,1.8,7.6,12.0,16.9,23.0,25.8,33.9,9.3,0.021188
MaxTemp,°C,144199,-4.8,9.0,12.8,17.9,22.6,28.2,35.5,40.1,48.1,10.3,0.220839
Rainfall,mm,142199,0.0,0.0,0.0,0.0,0.0,0.8,13.0,37.4,371.0,0.8,9.836225
Evaporation,mm,82670,0.0,0.4,1.0,2.6,4.8,7.4,12.0,18.4,145.0,4.8,3.761286
Sunshine,hours,75625,0.0,0.0,0.3,4.8,8.4,10.6,12.8,13.4,14.5,5.8,-0.49648
WindGustSpeed,km/h,135197,6.0,15.0,20.0,31.0,39.0,48.0,65.0,81.0,135.0,17.0,0.874879
WindSpeed9am,km/h,143693,0.0,0.0,0.0,7.0,13.0,19.0,30.0,39.0,130.0,12.0,0.77763
WindSpeed3pm,km/h,142398,0.0,2.0,6.0,13.0,19.0,24.0,35.0,43.0,87.0,11.0,0.628215
Humidity9am,%,142806,0.0,18.0,34.0,57.0,70.0,83.0,98.0,100.0,100.0,26.0,-0.483969
Humidity3pm,%,140953,0.0,9.0,17.0,37.0,52.0,66.0,88.0,98.0,100.0,29.0,0.033614
Pressure9am,hPa,130395,980.5,1000.2,1006.2,1012.9,1017.6,1022.4,1029.5,1034.0,1041.0,9.5,-0.095524
Pressure3pm,hPa,130432,977.1,998.5,1004.0,1010.4,1015.2,1020.0,1026.9,1031.6,1039.6,9.6,-0.045621
Cloud9am,oktas,89572,0.0,0.0,0.0,1.0,5.0,7.0,8.0,8.0,9.0,6.0,-0.229082
Cloud3pm,oktas,86102,0.0,0.0,0.0,2.0,5.0,7.0,8.0,8.0,9.0,5.0,-0.226384
Temp9am,°C,143693,-7.2,2.6,6.9,12.3,16.7,21.6,28.2,31.2,40.2,9.3,0.08854
Temp3pm,°C,141851,-5.4,7.6,11.6,16.6,21.1,26.4,33.7,38.5,46.7,9.8,0.23796
