Location,Train,Validation,Test
Adelaide,2203,447,440
Albany,2137,450,429
Albury,2121,452,438
AliceSprings,2145,452,434
BadgerysCreek,2057,446,425
Ballarat,2135,450,443
Bendigo,2145,450,439
Brisbane,2281,442,438
Cairns,2141,452,395
Canberra,2529,448,441
Cobar,2108,449,431
CoffsHarbour,2076,434,443
Dartmoor,2050,451,442
Darwin,2298,452,442
GoldCoast,2132,424,424
Hobart,2294,451,443
Katherine,678,449,432
Launceston,2137,452,439
Melbourne,2013,0,422
MelbourneAirport,2114,452,443
Mildura,2113,451,443
Moree,2042,369,443
MountGambier,2145,452,433
MountGinini,2013,452,442
Newcastle,2092,434,429
Nhil,676,450,443
NorahHead,2052,434,443
NorfolkIsland,2113,451,400
Nuriootpa,2111,451,440
PearceRAAF,1879,448,435
Penrith,2084,448,432
Perth,2298,452,443
PerthAirport,2114,452,443
Portland,2105,450,441
Richmond,2059,450,442
Sale,2114,447,439
SalmonGums,2066,449,440
Sydney,2442,452,443
SydneyAirport,2114,451,440
Townsville,2144,452,437
Tuggeranong,2111,448,439
Uluru,638,444,439
WaggaWagga,2114,452,410
Walpole,1952,439,428
Watsonia,2113,449,437
Williamtown,1765,373,415
Witchcliffe,2072,443,437
Wollongong,2106,444,433
Woomera,2105,452,433
