Location,First labelled date,Last labelled date,Present in Train,Present in Validation,Present in Test,Present in all three,Begins after labelled population starts,Ends before labelled population ends
Adelaide,2008-07-01,2017-06-24,True,True,True,True,True,True
Albany,2008-12-01,2017-06-25,True,True,True,True,True,False
Albury,2008-12-01,2017-06-25,True,True,True,True,True,False
AliceSprings,2008-12-01,2017-06-24,True,True,True,True,True,True
BadgerysCreek,2009-01-01,2017-06-25,True,True,True,True,True,False
Ballarat,2008-12-01,2017-06-25,True,True,True,True,True,False
Bendigo,2008-12-01,2017-06-25,True,True,True,True,True,False
Brisbane,2008-07-01,2017-06-25,True,True,True,True,True,False
Cairns,2008-12-01,2017-06-25,True,True,True,True,True,False
Canberra,2007-11-01,2017-06-25,True,True,True,True,False,False
Cobar,2009-01-01,2017-06-25,True,True,True,True,True,False
CoffsHarbour,2009-01-01,2017-06-25,True,True,True,True,True,False
Dartmoor,2009-03-05,2017-06-25,True,True,True,True,True,False
Darwin,2008-07-01,2017-06-24,True,True,True,True,True,True
GoldCoast,2008-12-01,2017-06-25,True,True,True,True,True,False
Hobart,2008-07-01,2017-06-25,True,True,True,True,True,False
Katherine,2013-03-01,2017-06-23,True,True,True,True,True,True
Launceston,2008-12-01,2017-06-25,True,True,True,True,True,False
Melbourne,2008-07-01,2017-06-25,True,False,True,False,True,False
MelbourneAirport,2009-01-01,2017-06-25,True,True,True,True,True,False
Mildura,2009-01-01,2017-06-25,True,True,True,True,True,False
Moree,2009-01-01,2017-06-25,True,True,True,True,True,False
MountGambier,2008-12-01,2017-06-24,True,True,True,True,True,True
MountGinini,2008-12-01,2017-06-25,True,True,True,True,True,False
Newcastle,2008-12-01,2017-06-24,True,True,True,True,True,True
Nhil,2013-03-01,2017-06-25,True,True,True,True,True,False
NorahHead,2009-01-01,2017-06-25,True,True,True,True,True,False
NorfolkIsland,2009-01-01,2017-06-25,True,True,True,True,True,False
Nuriootpa,2009-01-01,2017-06-24,True,True,True,True,True,True
PearceRAAF,2009-01-01,2017-06-25,True,True,True,True,True,False
Penrith,2008-12-01,2017-06-25,True,True,True,True,True,False
Perth,2008-07-01,2017-06-25,True,True,True,True,True,False
PerthAirport,2009-01-01,2017-06-25,True,True,True,True,True,False
Portland,2009-01-01,2017-06-25,True,True,True,True,True,False
Richmond,2009-01-01,2017-06-25,True,True,True,True,True,False
Sale,2009-01-01,2017-06-25,True,True,True,True,True,False
SalmonGums,2009-01-01,2017-06-25,True,True,True,True,True,False
Sydney,2008-02-01,2017-06-25,True,True,True,True,True,False
SydneyAirport,2009-01-01,2017-06-25,True,True,True,True,True,False
Townsville,2008-12-01,2017-06-25,True,True,True,True,True,False
Tuggeranong,2008-12-01,2017-06-25,True,True,True,True,True,False
Uluru,2013-03-01,2017-06-24,True,True,True,True,True,True
WaggaWagga,2009-01-01,2017-06-25,True,True,True,True,True,False
Walpole,2009-01-01,2017-06-25,True,True,True,True,True,False
Watsonia,2009-01-01,2017-06-25,True,True,True,True,True,False
Williamtown,2009-01-01,2017-06-25,True,True,True,True,True,False
Witchcliffe,2009-01-01,2017-06-25,True,True,True,True,True,False
Wollongong,2008-12-03,2017-06-25,True,True,True,True,True,False
Woomera,2009-01-01,2017-06-24,True,True,True,True,True,True
