Feature,Train-fitted mean,Train-fitted scale,Fit rows,Validation/Test used in fit?,Scaled path,Unscaled path available?
MinTemp,12.036897514716815,6.340563763104253,99546,False,StandardScaler,True
MaxTemp,23.039732385028024,6.996207394869594,99546,False,StandardScaler,True
Rainfall,2.3588994032909407,8.499982982144699,99546,False,StandardScaler,True
Evaporation,5.032642195567878,3.1758826507717988,99546,False,StandardScaler,True
Sunshine,7.955419605006731,2.9508095582456013,99546,False,StandardScaler,True
WindGustSpeed,40.16419544733088,13.221964932393035,99546,False,StandardScaler,True
WindSpeed9am,14.09866795250437,8.942656071709662,99546,False,StandardScaler,True
WindSpeed3pm,18.779950977437565,8.825790027392808,99546,False,StandardScaler,True
Humidity9am,68.65654069475418,18.881536421584457,99546,False,StandardScaler,True
Humidity3pm,51.508799951781086,20.637728212218004,99546,False,StandardScaler,True
Pressure9am,1017.4956532658268,6.726131483010174,99546,False,StandardScaler,True
Pressure3pm,1015.1139733590502,6.657170194257632,99546,False,StandardScaler,True
Cloud9am,4.73307817491411,2.481151942907174,99546,False,StandardScaler,True
Cloud3pm,4.754847005404536,2.255341630941747,99546,False,StandardScaler,True
Temp9am,16.86112249613244,6.384068108975483,99546,False,StandardScaler,True
Temp3pm,21.556275490727906,6.821054555715981,99546,False,StandardScaler,True
