Direction,Degrees,Radians,Sine,Cosine
N,0.0,0.0,0.0,1.0
NNE,22.5,0.39269908169872414,0.3826834323650898,0.9238795325112867
NE,45.0,0.7853981633974483,0.7071067811865476,0.7071067811865476
ENE,67.5,1.1780972450961724,0.9238795325112867,0.38268343236508984
E,90.0,1.5707963267948966,1.0,6.123233995736766e-17
ESE,112.5,1.9634954084936207,0.9238795325112867,-0.3826834323650897
SE,135.0,2.356194490192345,0.7071067811865476,-0.7071067811865475
SSE,157.5,2.748893571891069,0.3826834323650899,-0.9238795325112867
S,180.0,3.141592653589793,1.2246467991473532e-16,-1.0
SSW,202.5,3.5342917352885173,-0.38268343236508967,-0.9238795325112868
SW,225.0,3.9269908169872414,-0.7071067811865475,-0.7071067811865477
WSW,247.5,4.319689898685966,-0.9238795325112868,-0.3826834323650895
W,270.0,4.71238898038469,-1.0,-1.8369701987210297e-16
WNW,292.5,5.105088062083414,-0.9238795325112866,0.38268343236509
NW,315.0,5.497787143782138,-0.7071067811865477,0.7071067811865474
NNW,337.5,5.8904862254808625,-0.38268343236508956,0.9238795325112868
