Split,Feature,Rows,Missing count,Missing percentage,Handling
Train,Year,99546,0,0.0,No imputation required
Train,Month,99546,0,0.0,No imputation required
Train,Season,99546,0,0.0,No imputation required
Train,Month_sin,99546,0,0.0,No imputation required
Train,Month_cos,99546,0,0.0,No imputation required
Train,TempRange,99546,565,0.5675767986659433,T07 Train-fitted imputation
Train,TempChange,99546,1198,1.2034637253129206,T07 Train-fitted imputation
Train,HumidityChange,99546,1812,1.8202639985534328,T07 Train-fitted imputation
Train,PressureChange,99546,9572,9.615655074036123,T07 Train-fitted imputation
Train,WindSpeedChange,99546,1563,1.5701283828581762,T07 Train-fitted imputation
Train,WindGustDir_sin,99546,0,0.0,No imputation required
Train,WindGustDir_cos,99546,0,0.0,No imputation required
Train,WindDir9am_sin,99546,0,0.0,No imputation required
Train,WindDir9am_cos,99546,0,0.0,No imputation required
Train,WindDir3pm_sin,99546,0,0.0,No imputation required
Train,WindDir3pm_cos,99546,0,0.0,No imputation required
Train,WindGustDir_missing,99546,0,0.0,No imputation required
Train,WindDir9am_missing,99546,0,0.0,No imputation required
Train,WindDir3pm_missing,99546,0,0.0,No imputation required
Train,Rainfall_log1p,99546,1007,1.0115926305426637,T07 Train-fitted imputation
Validation,Year,21342,0,0.0,No imputation required
Validation,Month,21342,0,0.0,No imputation required
Validation,Season,21342,0,0.0,No imputation required
Validation,Month_sin,21342,0,0.0,No imputation required
Validation,Month_cos,21342,0,0.0,No imputation required
Validation,TempRange,21342,110,0.5154156124074595,T07 Train-fitted imputation
Validation,TempChange,21342,781,3.659450848092962,T07 Train-fitted imputation
Validation,HumidityChange,21342,989,4.634054915190704,T07 Train-fitted imputation
Validation,PressureChange,21342,2428,11.37662824477556,T07 Train-fitted imputation
Validation,WindSpeedChange,21342,605,2.834785868241027,T07 Train-fitted imputation
Validation,WindGustDir_sin,21342,0,0.0,No imputation required
Validation,WindGustDir_cos,21342,0,0.0,No imputation required
Validation,WindDir9am_sin,21342,0,0.0,No imputation required
Validation,WindDir9am_cos,21342,0,0.0,No imputation required
Validation,WindDir3pm_sin,21342,0,0.0,No imputation required
Validation,WindDir3pm_cos,21342,0,0.0,No imputation required
Validation,WindGustDir_missing,21342,0,0.0,No imputation required
Validation,WindDir9am_missing,21342,0,0.0,No imputation required
Validation,WindDir3pm_missing,21342,0,0.0,No imputation required
Validation,Rainfall_log1p,21342,188,0.8808921375691124,T07 Train-fitted imputation
Test,Year,21305,0,0.0,No imputation required
Test,Month,21305,0,0.0,No imputation required
Test,Season,21305,0,0.0,No imputation required
Test,Month_sin,21305,0,0.0,No imputation required
Test,Month_cos,21305,0,0.0,No imputation required
Test,TempRange,21305,196,0.9199718375968082,T07 Train-fitted imputation
Test,TempChange,21305,1298,6.09246655714621,T07 Train-fitted imputation
Test,HumidityChange,21305,1485,6.97019478995541,T07 Train-fitted imputation
Test,PressureChange,21305,2204,10.344989439098804,T07 Train-fitted imputation
Test,WindSpeedChange,21305,929,4.36047876085426,T07 Train-fitted imputation
Test,WindGustDir_sin,21305,0,0.0,No imputation required
Test,WindGustDir_cos,21305,0,0.0,No imputation required
Test,WindDir9am_sin,21305,0,0.0,No imputation required
Test,WindDir9am_cos,21305,0,0.0,No imputation required
Test,WindDir3pm_sin,21305,0,0.0,No imputation required
Test,WindDir3pm_cos,21305,0,0.0,No imputation required
Test,WindGustDir_missing,21305,0,0.0,No imputation required
Test,WindDir9am_missing,21305,0,0.0,No imputation required
Test,WindDir3pm_missing,21305,0,0.0,No imputation required
Test,Rainfall_log1p,21305,211,0.9903778455761559,T07 Train-fitted imputation
