Processed feature,Source,Role,Data type,Missing-value behavior,Leakage risk,Preprocessing requirement
MinTemp,Raw measurement or T08 deterministic formula,Numerical/cyclical predictor,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Train-fitted imputation; optional scaling
MaxTemp,Raw measurement or T08 deterministic formula,Numerical/cyclical predictor,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Train-fitted imputation; optional scaling
Rainfall,Raw measurement or T08 deterministic formula,Numerical/cyclical predictor,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Train-fitted imputation; optional scaling
Evaporation,Raw measurement or T08 deterministic formula,Numerical/cyclical predictor,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Train-fitted imputation; optional scaling
Sunshine,Raw measurement or T08 deterministic formula,Numerical/cyclical predictor,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Train-fitted imputation; optional scaling
WindGustSpeed,Raw measurement or T08 deterministic formula,Numerical/cyclical predictor,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Train-fitted imputation; optional scaling
WindSpeed9am,Raw measurement or T08 deterministic formula,Numerical/cyclical predictor,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Train-fitted imputation; optional scaling
WindSpeed3pm,Raw measurement or T08 deterministic formula,Numerical/cyclical predictor,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Train-fitted imputation; optional scaling
Humidity9am,Raw measurement or T08 deterministic formula,Numerical/cyclical predictor,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Train-fitted imputation; optional scaling
Humidity3pm,Raw measurement or T08 deterministic formula,Numerical/cyclical predictor,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Train-fitted imputation; optional scaling
Pressure9am,Raw measurement or T08 deterministic formula,Numerical/cyclical predictor,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Train-fitted imputation; optional scaling
Pressure3pm,Raw measurement or T08 deterministic formula,Numerical/cyclical predictor,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Train-fitted imputation; optional scaling
Cloud9am,Raw measurement or T08 deterministic formula,Numerical/cyclical predictor,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Train-fitted imputation; optional scaling
Cloud3pm,Raw measurement or T08 deterministic formula,Numerical/cyclical predictor,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Train-fitted imputation; optional scaling
Temp9am,Raw measurement or T08 deterministic formula,Numerical/cyclical predictor,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Train-fitted imputation; optional scaling
Temp3pm,Raw measurement or T08 deterministic formula,Numerical/cyclical predictor,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Train-fitted imputation; optional scaling
Month_sin,Raw measurement or T08 deterministic formula,Numerical/cyclical predictor,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Train-fitted imputation; optional scaling
Month_cos,Raw measurement or T08 deterministic formula,Numerical/cyclical predictor,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Train-fitted imputation; optional scaling
TempRange,Raw measurement or T08 deterministic formula,Numerical/cyclical predictor,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Train-fitted imputation; optional scaling
TempChange,Raw measurement or T08 deterministic formula,Numerical/cyclical predictor,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Train-fitted imputation; optional scaling
HumidityChange,Raw measurement or T08 deterministic formula,Numerical/cyclical predictor,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Train-fitted imputation; optional scaling
PressureChange,Raw measurement or T08 deterministic formula,Numerical/cyclical predictor,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Train-fitted imputation; optional scaling
WindSpeedChange,Raw measurement or T08 deterministic formula,Numerical/cyclical predictor,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Train-fitted imputation; optional scaling
WindGustDir_sin,Raw measurement or T08 deterministic formula,Numerical/cyclical predictor,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Train-fitted imputation; optional scaling
WindGustDir_cos,Raw measurement or T08 deterministic formula,Numerical/cyclical predictor,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Train-fitted imputation; optional scaling
WindDir9am_sin,Raw measurement or T08 deterministic formula,Numerical/cyclical predictor,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Train-fitted imputation; optional scaling
WindDir9am_cos,Raw measurement or T08 deterministic formula,Numerical/cyclical predictor,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Train-fitted imputation; optional scaling
WindDir3pm_sin,Raw measurement or T08 deterministic formula,Numerical/cyclical predictor,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Train-fitted imputation; optional scaling
WindDir3pm_cos,Raw measurement or T08 deterministic formula,Numerical/cyclical predictor,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Train-fitted imputation; optional scaling
Sunshine_missing,Original missingness,Missing indicator,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Binary passthrough; not scaled
Evaporation_missing,Original missingness,Missing indicator,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Binary passthrough; not scaled
Cloud9am_missing,Original missingness,Missing indicator,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Binary passthrough; not scaled
Cloud3pm_missing,Original missingness,Missing indicator,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Binary passthrough; not scaled
WindGustDir_missing,Original missingness,Missing indicator,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Binary passthrough; not scaled
WindDir9am_missing,Original missingness,Missing indicator,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Binary passthrough; not scaled
WindDir3pm_missing,Original missingness,Missing indicator,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Binary passthrough; not scaled
Location_Adelaide,Location or RainToday,One-hot categorical column,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Train-fitted one-hot; not scaled
Location_Albany,Location or RainToday,One-hot categorical column,float64,No missing values after preprocessing,None: deterministic or Train-fitted only,Train-fitted one-hot; not scaled
