Feature,RainTomorrow,Observed count,Missing count,Mean,Median,Q1,Q3
Year,No,77087,0,2011.4696641457056,2011.0,2010.0,2013.0
Year,Yes,22459,0,2011.3951199964379,2011.0,2010.0,2013.0
Month,No,77087,0,6.560522526496037,7.0,4.0,10.0
Month,Yes,22459,0,6.649093904448105,7.0,4.0,9.0
Month_sin,No,77087,0,-0.0305076968169334,0.0,-0.8660254037844385,0.49999999999999994
Month_sin,Yes,22459,0,-0.013768736399998607,1.2246467991473532e-16,-0.5000000000000004,0.49999999999999994
Month_cos,No,77087,0,-0.0019623971779985485,-1.8369701987210297e-16,-0.5000000000000004,0.5000000000000001
Month_cos,Yes,22459,0,-0.08040299421582799,-1.8369701987210297e-16,-0.8660254037844387,0.5000000000000001
TempRange,No,76654,433,11.920968246927753,11.5,8.2,15.200000000000001
TempRange,Yes,22327,132,7.869082277063645,7.100000000000001,5.099999999999998,9.9
TempChange,No,76271,816,5.3477704501055445,5.100000000000001,2.700000000000001,7.7
TempChange,Yes,22077,382,2.551610273134937,2.2,0.5999999999999996,4.200000000000001
HumidityChange,No,75793,1294,-19.555235971659652,-19.0,-30.0,-9.0
HumidityChange,Yes,21941,518,-9.079941661729183,-8.0,-20.0,1.0
PressureChange,No,69624,7463,-2.474590773296564,-2.699999999999932,-3.7000000000000455,-1.5
PressureChange,Yes,20350,2109,-2.0681081081081074,-2.2000000000000455,-3.5,-0.7999999999999545
WindSpeedChange,No,75912,1175,4.71029613236379,4.0,0.0,10.0
WindSpeedChange,Yes,22071,388,4.5150197091205655,4.0,-1.0,10.0
WindGustDir_sin,No,77087,0,0.01075040109995025,0.0,-0.7071067811865475,0.7071067811865476
WindGustDir_sin,Yes,22459,0,-0.12422894481612042,0.0,-0.7071067811865477,0.3826834323650899
WindGustDir_cos,No,77087,0,-0.05529803415008919,0.0,-0.7071067811865477,0.7071067811865474
WindGustDir_cos,Yes,22459,0,0.010202509909253102,0.0,-0.7071067811865475,0.7071067811865474
WindDir9am_sin,No,77087,0,0.04615315406248146,0.0,-0.7071067811865475,0.7071067811865476
WindDir9am_sin,Yes,22459,0,-0.09218035213867509,0.0,-0.7071067811865477,0.3826834323650899
WindDir9am_cos,No,77087,0,-0.012410504255194217,0.0,-0.7071067811865475,0.7071067811865474
WindDir9am_cos,Yes,22459,0,0.11386327792761174,6.123233995736766e-17,-0.7071067811865475,0.9238795325112867
WindDir3pm_sin,No,77087,0,0.008459171130538663,1.2246467991473532e-16,-0.7071067811865475,0.7071067811865476
WindDir3pm_sin,Yes,22459,0,-0.10148544214618493,0.0,-0.7071067811865477,0.7071067811865476
WindDir3pm_cos,No,77087,0,-0.06245680027579916,-1.8369701987210297e-16,-0.7071067811865477,0.7071067811865474
WindDir3pm_cos,Yes,22459,0,0.02063181203444249,0.0,-0.7071067811865475,0.7071067811865474
WindGustDir_missing,No,77087,0,0.06687249471376497,0.0,0.0,0.0
WindGustDir_missing,Yes,22459,0,0.08103655550113541,0.0,0.0,0.0
WindDir9am_missing,No,77087,0,0.07700390467912878,0.0,0.0,0.0
WindDir9am_missing,Yes,22459,0,0.06251391424373302,0.0,0.0,0.0
WindDir3pm_missing,No,77087,0,0.018991529051591058,0.0,0.0,0.0
WindDir3pm_missing,Yes,22459,0,0.025424106148982592,0.0,0.0,0.0
Rainfall_log1p,No,76569,518,0.3194960284125247,0.0,0.0,0.18232155679395465
Rainfall_log1p,Yes,21970,489,1.0845040341320666,0.5877866649021191,0.0,2.0014800002101243
